Date	Daily minimum temperature	Daily maximum temperature	Maximum steady wind	Maximum wind gust	Total daily precipitation	Snow depth	Pressure	Icon	Description
9/1/16	62ÁF	81ÁF	13 Mph	20 Mph	0.07in	N/A	1015.1mb		Fog
									Rain
9/2/16	56ÁF	77ÁF	9 Mph	17 Mph	0in	N/A	1020.6mb		weather events not reported
9/3/16	63ÁF	69ÁF	5 Mph	N/A	0in	N/A	1021.0mb		weather events not reported
9/4/16	64ÁF	71ÁF	3 Mph	N/A	0in	N/A	1022.2mb		weather events not reported
9/5/16	66ÁF	74ÁF	5 Mph	N/A	0in	N/A	1024.2mb		weather events not reported
9/6/16	71ÁF	76ÁF	6 Mph	N/A	0in	N/A	1022.2mb		weather events not reported
9/7/16	73ÁF	79ÁF	7 Mph	N/A	0in	N/A	1019.0mb		weather events not reported
9/8/16	79ÁF	80ÁF	N/A	N/A	0in	N/A	1016.5mb		weather events not reported
9/9/16	73ÁF	80ÁF	9 Mph	N/A	0in	N/A	1013.4mb		Rain
9/10/16	72ÁF	73ÁF	8 Mph	N/A	0in	N/A	N/A		Rain
9/11/16	68ÁF	81ÁF	N/A	23 Mph	0in	N/A	N/A		Rain
9/12/16	55ÁF	79ÁF	10 Mph	N/A	0in	N/A	1022.6mb		weather events not reported
9/13/16	65ÁF	72ÁF	8 Mph	N/A	0in	N/A	1020.4mb		weather events not reported
9/14/16	66ÁF	76ÁF	7 Mph	N/A	0in	N/A	1019.8mb		weather events not reported
9/15/16	62ÁF	68ÁF	8 Mph	17 Mph	0in	N/A	1022.8mb		weather events not reported
9/16/16	60ÁF	67ÁF	5 Mph	N/A	0in	N/A	1022.5mb		weather events not reported
9/17/16	67ÁF	70ÁF	9 Mph	N/A	0in	N/A	1019.7mb		weather events not reported
9/18/16	66ÁF	79ÁF	10 Mph	N/A	0.04in	N/A	1016.3mb		Fog
									Rain
9/19/16	67ÁF	70ÁF	6 Mph	N/A	0in	N/A	1016.7mb		weather events not reported
9/20/16	61ÁF	84ÁF	5 Mph	N/A	0.05in	N/A	1020.3mb		weather events not reported
9/21/16	67ÁF	77ÁF	5 Mph	N/A	0in	N/A	1021.4mb		weather events not reported
9/22/16	61ÁF	85ÁF	9 Mph	N/A	0in	N/A	1020.5mb		weather events not reported
